id-sum;anio;mes;dia;fecha;franja;tipo;subtipo;uso_arma;uso_moto;barrio;comuna;latitud;longitud;cantidad
88611;2023;OCTUBRE;DOMINGO;1/10/2023;19;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,660407;-58,504223;1
88612;2023;OCTUBRE;DOMINGO;8/10/2023;1;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66054907;-58,50410472;1
88613;2023;NOVIEMBRE;DOMINGO;26/11/2023;23;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,661218;-58,504496;1
88614;2023;NOVIEMBRE;JUEVES;2/11/2023;13;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,658925;-58,504574;1
88615;2023;ENERO;DOMINGO;15/1/2023;16;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,654582;-58,504187;1
88616;2023;AGOSTO;MARTES;1/8/2023;23;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,654095;-58,504277;1
88617;2023;MARZO;VIERNES;10/3/2023;13;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,661541;-58,516691;1
88618;2023;MARZO;JUEVES;16/3/2023;13;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,6606719;-58,51666631;1
88619;2023;MARZO;JUEVES;23/3/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,657363;-58,516582;1
88620;2023;NOVIEMBRE;MIERCOLES;1/11/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,659224;-58,516528;1
88621;2023;DICIEMBRE;VIERNES;29/12/2023;16;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,661541;-58,516691;1
88622;2023;AGOSTO;MARTES;15/8/2023;14;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,658252;-58,516702;1
88623;2023;ABRIL;VIERNES;14/4/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,650502;-58,503097;1
88624;2023;JUNIO;VIERNES;30/6/2023;15;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,649282;-58,50297;1
88625;2023;AGOSTO;MIERCOLES;9/8/2023;8;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,64917433;-58,50201438;1
88626;2023;SEPTIEMBRE;MARTES;12/9/2023;10;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,649418;-58,503443;1
88627;2023;DICIEMBRE;SABADO;2/12/2023;23;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,64978;-58,502653;1
88628;2023;DICIEMBRE;JUEVES;28/12/2023;22;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,649363;-58,503257;1
88629;2023;JUNIO;VIERNES;23/6/2023;12;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,649283;-58,502798;1
88630;2023;ENERO;MARTES;17/1/2023;14;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,650352;-58,503381;1
88631;2023;FEBRERO;MIERCOLES;15/2/2023;3;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,650013;-58,503924;1
